skill_name,count,most_common_occupation_id
försäljning,549402,5
arbetslivserfarenhet,364881,1
barn,350870,15
datorvana,309339,8
sjukvård,309193,8
microsoft office,262672,1
teknik,255631,3
ekonomi,253956,1
kommunikation,243532,5
dokumentation,222709,8
administration,222073,1
undervisning,214354,15
miljö,203774,1
högskoleutbildning,202811,1
gymnasieutbildning,194297,1
ledarskap,186367,20
data,165026,
truckkort,156465,19
rekrytering,147953,1
excel,142120,1
administrativa uppgifter,139421,1
energi,132339,5
förskola,130722,15
eftergymnasial utbildning,128164,1
lager,126180,19
kundservice,125861,5
omsorg,121949,16
el,121639,10
ungdomar,120337,16
utvecklingsarbete,119532,8
material,119378,9
design,116389,3
arbetsmiljö,115290,20
inköp,112755,5
mat,112742,7
personalansvar,108580,20
handledning,105203,8
industri,100013,9
leverantörer,98028,5
styrdokument,97249,15
hälsa,96522,8
budget,94999,20
reparation,94535,10
projektledning,93753,18
felsökning,91975,10
butik,90491,5
problemlösning,90224,10
säkerhet,89660,5
logistik,89449,19
forskning,87817,15
städning,85282,12
drifting,83980,3
kundrelationer,81316,5
analys,80201,1
behandling,78844,8
god fysik,78206,19
redovisning,77070,1
rådgivning,76565,5
lärarlegitimation,73772,15
coachning,73610,5
matlagning,73300,16
montering,72600,9
programmering,71778,3
beställningar,71531,5
funktionsnedsättning,71521,16
fordon,69527,10
försäkring,69049,1
transport,68987,19
förbättringsarbete,68935,8
rör,68923,1
psykiatri,68779,8
rapportering,66231,1
restaurang,65975,7
bilen,65831,9
myndigheter,65752,1
installation,64737,10
affärssystem,62823,5
marknadsföring,62734,5
träning,60413,16
matematik,60004,15
hälsovård,59683,8
primärvård,59620,8
kompetensutveckling,58441,8
automation,58030,18
äldreomsorg,57310,8
hjälpmedel,57158,8
upphandling,56947,5
innovation,56480,3
kundtjänst,54763,5
it-kunskaper,50507,15
förändringsarbete,50454,20
mekanik,50425,10
feedback,49643,5
mottagning,49421,8
specialistutbildning,46904,8
hemsjukvård,46891,8
datorkunskaper,46488,8
fakturering,45065,1
handläggning,44716,1
kvalitetsarbete,44128,20
B2B,43950,5
registrering,43629,1
kök,43335,7
event,43204,5
registerkontroll,43151,8
verksamhetsutveckling,42471,20
budgetansvar,41953,20
hemtjänst,41581,8
kassaarbete,41452,5
finska,40861,5
tunga lyft,40824,19
java,40626,3
schemaläggning,40507,20
arbetsledning,40365,20
pedagogik,40289,1
teknisk utbildning,40155,10
akutsjukvård,39964,8
merförsäljning,39797,5
byggbranschen,39544,2
rehabilitering,39539,8
fritidshem,39389,15
journalsystem,39226,8
organisationer,39221,1
konstruktion,38350,18
samordning,37997,1
varumärken,37995,5
tillverkning,37983,9
verksamhetsområden,37884,20
regelverk,37824,1
socialtjänst,37680,16
media,37628,5
idrott,37447,15
juridik,37250,1
performance,36943,3
statistik,36708,1
utredning,36698,8
research,35333,3
socialt arbete,35236,16
python,35104,3
servering,34847,7
barnpassning,34679,12
javascript,34666,3
konsultuppdrag,34659,1
C#,34495,3
rekryteringstjänster,34461,8
lag,34403,9
autism,34191,16
universitetsutbildning,34025,1
personlig hygien,33602,16
datorer,33600,3
arbetsliv,33563,5
svenska som andraspråk,32984,15
tvätt,32791,8
jakt,32673,8
marketing,32609,5
microsoft windows,32575,3
integration,32432,3
bokslut,32090,1
avstämningar,32073,1
infrastruktur,31870,3
utvecklingsprojekt,31673,18
arbetsmiljöansvar,31617,20
fastigheter,31609,10
lärarexamen,31582,15
it-system,31547,3
kassa,31433,5
telefonrådgivning,31239,8
styrning,31185,20
bemanningsföretag,30984,8
teamarbete,30978,8
verkstad,30836,10
kampanjer,30798,5
teknisk support,30554,5
äldreboende,30546,8
digitalisering,30411,1
tillgänglighet,30387,5
bank,30171,1
mjukvara,29976,3
leverantörsreskontra,29898,1
systemutveckling,29886,3
teknikintresse,29848,10
vägledning,29844,1
lokalvård,29826,12
hotell,29789,7
lastning,29727,19
tyska,29703,5
svetsning,29571,9
reception,29462,1
tester,29456,3
maskin,29430,18
ritningar,28964,9
word,28939,1
.net,28851,3
agile,28809,3
c-körkort,28762,19
offerter,28634,5
bokningar,28599,5
SQL,28450,3
C++,28319,3
provtagning,28208,8
ämneskunskaper,28156,15
utredningsarbete,28124,1
mottagningsarbete,27955,8
distribution,27774,19
systemvana,27722,1
siffror,27564,1
sport,27553,5
hydraulik,27527,10
funktionshinder,27133,16
serviceyrke,26912,5
dryck,26647,7
livsmedel,26635,5
specialistkompetens,26617,8
VVS,26604,10
kanaler,26590,5
webbutveckling,26574,3
sjukhus,26333,8
beredskap,26300,15
företagshälsovård,25866,8
kvalitetssäkring,25764,1
vuxenutbildning,25719,15
traverskort,25545,9
implementering,25464,3
norska,25396,5
brand,25273,1
CAD,25255,18
övervakning,25137,9
säkerhetsprövning,24888,1
grundskola,24864,15
kundreskontra,24826,1
arbetsredskap,24712,5
löpande bokföring,24683,1
posthantering,24605,1
arbetsverktyg,24295,5
modersmål,24282,15
läkemedel,24197,8
projektering,24183,2
lönsamhet,24030,5
microsoft azure,23908,3
produktutveckling,23879,18
tekniska lösningar,23868,3
egenkontroll,23849,7
helhetsansvar,23798,20
beteendevetenskap,23692,1
doktorsexamen,23678,15
kirurgi,23571,8
fakturahantering,23447,1
hårdvara,23430,3
underhållsarbete,23325,10
beredning,23268,7
automotive,23210,18
servicearbete,23008,10
kundsupport,22994,5
trygghetsförsäkring,22990,5
bokföring,22898,1
arbetsgrupp,22856,8
säljteam,22834,5
telefonsamtal,22731,8
ärendehanteringssystem,22712,3
värme,22434,10
packning,22423,19
film,22338,16
linux,22326,3
lossning,22305,19
kemi,22051,18
it-support,22040,3
pedagogisk dokumentation,22016,15
back end,21987,3
däck,21897,9
slutenvård,21893,8
rekryteringsföretag,21879,15
genomförandeplaner,21879,16
omvårdnadsarbete,21835,8
branscherfarenhet,21804,5
operation,21759,8
yrkesbevis,21602,2
inventering,21512,5
front end,21435,3
orderhantering,21423,5
säljutbildning,21189,5
fysik,21139,15
kunskapsutveckling,21136,15
vatten,21017,2
resultatansvar,20866,20
arkiv,20761,1
förebyggande underhåll,20687,10
cafeteria,20652,7
monitor,20639,5
årsredovisning,20576,1
yrkeshögskoleutbildning,20212,1
socialtjänstlagen,20174,16
sortiment,20147,5
religion,19985,3
styrsystem,19923,10
lärarutbildning,19832,15
flöden,19830,1
fastighet,19806,1
danska,19775,5
butiksarbete,19710,5
ventilation,19665,10
kvalitetskontroll,19661,9
servicebranschen,19646,5
mätning,19570,9
databaser,19564,3
mässor,19530,5
offentlig förvaltning,19529,1
arbetsrätt,19496,1
omvärldsbevakning,19492,1
arbetsmetoder,19452,15
fordonsbranschen,19272,10
reklamationer,19191,5
grundutbildning,19107,8
vidareutveckling,19054,3
undersköterskeutbildning,19051,8
hälsoarbete,19019,8
certifikat,19003,10
hushållssysslor,19003,16
testning,18990,3
CSS,18975,3
inleveranser,18969,19
office 365,18828,3
exponering,18726,5
sortering,18700,19
yrkeshögskola,18677,1
körning,18666,19
vårdavdelning,18647,8
scrum,18587,3
handel,18546,5
årsbokslut,18529,1
chefserfarenhet,18483,20
maskinteknik,18481,18
spanska,18445,15
tidplaner,18439,2
cloud,18401,3
restaurangbranschen,18360,7
instrument,18360,18
react,18300,3
öppenvård,18299,8
utvecklingsfrågor,18259,20
verksamhetssystem,18214,1
skolutveckling,18213,15
yrkesutbildning,18202,9
ekonomiarbete,18150,1
föreskrifter,18126,1
receptionsarbete,18120,1
fastighetsbranschen,18075,1
git,18074,3
djur,18031,16
ekonomissystem,18014,1
säljteknik,17946,5
svets,17832,9
powerpoint,17807,1
optimering,17794,18
utleveranser,17762,19
web,17610,3
delegering,17557,8
kommunal verksamhet,17557,16
html,17535,3
ortopedi,17532,8
CRM,17465,5
mjukvaruutveckling,17455,3
behandlingsarbete,17402,16
fritidsprogrammet,17338,16
kandidatexamen,17241,1
arabiska,17225,1
försäljningserfarenhet,17220,5
påklädning,17217,16
kalkylering,17172,18
cosmic,17090,8
månadsbokslut,17059,1
examensbevis,16958,1
reservdelar,16910,10
social dokumentation,16895,16
särskilt boende,16833,8
geriatrik,16809,8
arkitektur,16792,3
e-handel,16686,5
adobe photoshop,16662,5
budgetarbete,16647,1
hållbarhet,16634,1
rengöring,16603,12
driftsättning,16503,10
teknikområden,16463,18
personaladministration,16439,1
GDPR,16416,3
datasystem,16276,1
PLC,16263,18
skollagen,16256,15
embedded,16171,3
systemvetenskap,16157,3
active directory,16142,3
fortbildning,16067,8
entreprenadjuridik,15997,2
information technology,15984,3
larm,15962,10
ärendehantering,15939,1
it-branschen,15937,3
affärsutveckling,15899,5
prognoser,15891,1
storkök,15834,7
omsorgsarbete,15812,8
motviktstruck,15799,19
tillverkningsindustrin,15788,9
utvecklingssamtal,15767,15
kontinuerlig coachning,15749,1
verksamhetsansvar,15601,20
barn och ungdom,15594,8
tydliggörande pedagogik,15486,16
lönesättning,15473,20
compliance,15450,1
leverantörsfakturor,15446,1
uppsökande försäljning,15269,5
agresso,15222,1
behörigheter,15217,3
missbruk,15195,16
universitetsexamen,15142,1
projektarbete,15133,1
barnomsorg,15120,15
skolledning,15092,15
lärplattform,15065,15
varuplock,14989,5
ce-körkort,14959,19
CNC,14916,9
telefoni,14881,5
allmänmedicin,14865,8
angularjs,14824,3
ordrar,14793,19
customer service,14789,5
telekommunikation,14783,5
friskvård,14749,16
tillagning,14748,7
påfyllning,14723,5
lastbilar,14718,10
läxhjälp,14697,12
mode,14603,5
telefonförsäljning,14540,5
nyheter,14540,5
à la carte,14532,7
ledarskapsutbildning,14531,20
samiska,14531,15
läkemedelshantering,14529,8
sjuksköterskeuppgifter,14426,8
specialkost,14407,7
kassavana,14339,5
löneadministration,14317,1
mötesbokning,14267,5
utvecklingsstörning,14212,16
kontaktuppgifter,14145,9
smart,14120,15
barn & fritid,14079,15
produktkunskap,14063,5
KBT,14052,8
amazon web services,13995,3
franska,13990,15
TV,13987,5
inredning,13874,5
detaljhandel,13853,5
fordonsindustrin,13806,18
demens,13765,8
samhällsbyggnad,13754,2
civilingenjörsexamen,13684,18
autocad,13658,18
uthyrning,13654,18
privatkunder,13564,5
kundhantering,13562,5
medicinering,13554,8
mätteknik,13516,9
elkraft,13420,18
lönehantering,13403,1
diabetes,13401,8
elevhälsa,13387,15
kundansvar,13350,5
datavetenskap,13310,3
renhållning,13244,7
förskollärarexamen,13243,15
lagarbete,13229,5
client,13174,3
sjukvårdsinsatser,13170,8
förhandling,13170,5
microsoft access,13147,3
internet,13116,3
intensivvård,13066,8
tekniska kunskaper,13054,10
beslutsunderlag,13033,1
UX,13000,3
läsa ritningar,12959,9
sql-server,12956,3
processindustri,12919,9
ingenjörsutbildning,12897,18
introduktionsprogram,12889,8
ekonomifrågor,12885,20
ekonomiskt ansvar,12871,20
avklädning,12835,16
rekryteringssystem,12812,15
behovsanalys,12785,5
forskningsprojekt,12752,15
reglerteknik,12724,10
melior,12696,8
snickeri,12677,2
samhällsvetenskap,12637,1
tandvård,12625,8
ekonomisk uppföljning,12598,1
tunga fordon,12566,10
verifiering,12533,18
embedded system,12522,3
psykiatrin,12522,8
riskanalys,12521,18
skinn,12508,16
gymnasieskola,12461,15
outlook,12431,1
kravställning,12414,3
pedagogisk verksamhet,12405,15
good manufacturing practice,12383,9
prospektering,12373,5
fastighetsskötsel,12310,10
abonnemang,12304,5
palliativ vård,12302,8
REST,12297,3
adobe indesign,12237,1
släp,12222,19
habilitering,12190,8
miljöfrågor,12188,14
service och underhåll,12155,10
patientsäkerhet,12136,8
administrativt stöd,12120,1
kundvård,12114,5
telefonintervju,12107,5
reflektion,12105,15
riskbedömningar,12095,8
dans,12075,15
bestämmelser,12072,1
beräkningar,12047,18
biologi,12038,15
möbler,11979,19
personbilar,11969,10
bevakning,11952,1
nykundsbearbetning,11880,5
pneumatik,11859,10
akutmottagning,11828,8
mobil,11796,8
effektivisering,11788,1
yrkesvägledning,11760,1
epilepsi,11750,16
artificial intelligence,11746,3
sjuksköterskeexamen,11732,8
socionomutbildning,11719,16
försäljningsarbete,11686,5
bokslutsarbete,11658,1
paketering,11600,19
metodutveckling,11593,18
frukost,11592,7
intellektuell funktionsnedsättning,11592,16
studievägledning,11583,1
vårdplanering,11575,8
sharepoint,11396,3
it-säkerhet,11375,3
API,11349,3
huvudansvar,11339,1
diarieföring,11309,1
byggprojekt,11248,2
spel,11236,5
informationssäkerhet,11228,3
processindustrin,11197,18
datateknik,11128,3
android,11094,3
kriminalvården,11052,17
elinstallationer,11052,10
b2b-försäljning,11029,5
it-miljö,11019,3
dokumenthantering,10977,1
video,10929,3
crm-system,10929,5
färg,10884,5
medarbetarsamtal,10833,20
trädgård,10810,13
hjullastare,10803,2
energibranschen,10792,18
luftreningssystem,10690,5
kravhantering,10684,3
rekryteringsverktyg,10669,15
magisterexamen,10632,15
motiverande samtal,10602,16
sanering,10599,5
hr-området,10591,1
utbetalningar,10586,1
hr-arbete,10545,1
produktionsteknik,10544,18
socialpsykiatri,10541,16
it-vana,10535,1
deployment,10492,3
åtgärdsprogram,10416,15
utvecklingsprocesser,10413,3
validering,10413,18
hus,10392,2
tekniska frågor,10390,5
säkerhetsarbete,10388,17
kontorsmaterial,10359,1
extraarbete,10347,5
geografiska informationssystem,10311,18
hemstädning,10298,12
manualer,10284,10
ekonomistyrning,10281,1
microsoft exchange,10270,3
servicedesk,10263,3
revision,10258,1
utbildningsprogram,10243,5
ERP,10178,1
kemikalier,10172,5
barns lärande,10160,15
mission,10136,18
neurologi,10129,8
teckenspråk,10089,16
fiber,10073,10
kontrakt,10051,5
kontering,10019,1
omvårdnadsutbildning,9994,8
reparationsarbeten,9954,10
script,9946,3
kompetensförsörjning,9890,1
fotboll,9877,16
analysarbete,9874,1
arbetsprocesser,9870,1
förändringsledning,9865,20
kundärenden,9861,5
byggnation,9853,2
programvara,9755,3
certifieringar,9748,3
telefonvana,9745,5
deklaration,9744,1
civilingenjörsutbildning,9742,18
windows server,9733,3
vårdutbildning,9714,16
forskarutbildning,9707,15
förskrivning,9687,8
remisshantering,9670,1
gymnastik,9650,15
handlingsplaner,9644,16
processutveckling,9619,1
uppackning,9606,5
anläggningsbranschen,9583,2
näringsliv,9569,1
budgetering,9554,20
förskollärarlegitimation,9531,15
ekonomiavdelning,9527,1
fakturafrågor,9515,5
anestesi,9492,8
node,9491,3
docker,9466,3
allergi,9460,16
prognosarbete,9454,1
utvecklingsteam,9454,3
neuropsykiatriska funktionsnedsättningar,9406,16
naturvetenskap,9340,15
växel,9331,1
verkstadsarbete,9321,9
förstudier,9311,18
samhällsfrågor,9304,1
kollektivtrafik,9299,16
automatisering,9263,3
inbetalningar,9261,1
rekryteringsbranschen,9251,5
utbildningsförvaltningen,9247,15
mekatronik,9219,18
teknisk fysik,9215,18
försäljningsprocessen,9210,5
hantverk,9205,9
stål,9187,5
uppgraderingar,9168,10
matlab,9162,3
gräsklippning,9154,13
ensamarbete,9150,16
grundsärskolan,9148,15
ekonomiområdet,9140,1
typescript,9133,3
barnskötarutbildning,9122,15
B2C,9114,5
erfarenhet av barn,9098,16
SEO,9095,5
annonsering,9037,5
uppbyggnad,9037,18
digital marknadsföring,9016,5